ID VALUE SCORE
52294699 241478.356 0.956
93977920 232926.93 0.604
69735163 109390.166 0.924
57225448 121965.27 0.247
5148749 186042.182 0.007
38134979 133547.293 0.582
81434231 96627.399 0.493
41976001 308238.117 0.728
18079019 244872.183 0.678
694391 154682.563 0.268
1404657 657203.958 0.703
2620255 450927.2 0.229
63866871 234936.905 0.118
53723774 668107.501 0.7
50923147 66364.418 0.659
47949758 63768.445 0.325
78191599 344604.531 0.869
97404431 358557.613 0.417
20906675 21717.085 0.378
12082430 7536.406 0.628
4135612 271738.133 0.892
91941460 8443.158 0.827
82499248 46941.547 0.755
32951002 547266.948 0.107
58790697 604041.25 0.812
27269019 553297.824 0.372
50551970 834787.953 0.908
20874604 609327.203 0.172
27723782 28080.374 0.651
95344545 137728.978 0.812
19672036 593774.887 0.179
11674622 808235.355 0.443
34149019 744774.786 0.012
18743678 359317.898 0.492
63646604 643585.267 0.984
45219954 247485.929 0.287
74869837 274493.164 0.925
64485233 823057.449 0.16
86790563 50881.603 0.529
40021225 22046.09 0.635
58664782 698606.53 0.985
83024834 24887.794 0.6
77688353 86881.127 0.88
45833861 39287.621 0.41
81941067 87851.362 0.656
91471913 118905.971 0.717
74002101 683482.891 0.694
54417188 47318.465 0.117
55679830 180875.116 0.074
40582953 216080.706 0.072
9912556 647856.004 0.039
21069882 5120.874 0.011
90093306 806706.967 0.341
99468248 6587.853 0.46
91450540 244705.018 0.62
34320995 420306.997 0.375
1418080 262368.319 0.725
58988052 342939.341 0.305
97941452 375124.492 0.247
40739933 132763.386 0.546
38729341 88631.491 0.016
68193144 419891.498 0.948
62050374 68005.531 0.946
22705778 415447.12 0.364
83567107 4828.743 0.529
72585713 202931.462 0.448
2786993 58234.204 0.058
21898788 198193.734 0.635
6406638 506693.234 0.157
86934788 158798.638 0.941
60034754 118777.324 0.39
67539752 360617.629 0.914
69663799 93657.164 0.817
16003745 60968.923 0.577
12842084 709440.367 0.089
49020986 944748.94 0.61
57515893 215639.074 0.876
53463509 9964.279 0.399
9025775 167763.107 0.906
80199970 69246.095 0.887
51198094 25353.363 0.154
70581840 171176.923 0.465
93477983 429258.905 0.295
54057654 1848.34 0.036
86470986 313079.528 0.045
89468464 47615.73 0.716
74422701 433988.927 0.952
78754172 404301.443 0.096
17082020 42353.315 0.585
47127392 721528.671 0.391
13283208 540047.538 0.911
8893926 5326.819 0.493
10025943 49805.307 0.965
44513905 200360.942 0.53
839270 228333.584 0.826
78122316 230673.79 0.463
47438817 599236.043 0.359
69383577 91622.96 0.57
2877977 669107.475 0.602
35402157 30856.34 0.359
83374458 494930.979 0.698
13492359 164834.699 0.261
34818051 390608.554 0.321
56678115 135027.714 0.564
67359686 6347.015 0.547
43052294 6727.67 0.11
42146168 498903.864 0.265
53608739 395550.835 0.818
72511770 372509.679 0.256
16986124 147729.327 0.642
22310714 216939.545 0.614
22219735 204964.035 0.287
62541514 163794.827 0.44
38350201 415952.238 0.366
32908842 259838.012 0.339
65485056 469611.745 0.399
59993990 43176.952 0.94
72409198 10237.219 0.909
82599235 474851.588 0.797
73707057 91519.928 0.111
14482494 788534.156 0.951
33784625 6712.826 0.926
12155789 48074.112 0.989
73560022 258378.24 0.61
10325700 45210.851 0.253
95937291 371719.936 0.489
50130992 414257.427 0.479
5210735 22981.494 0.14
12738991 64556.151 0.546
41500934 504969.557 0.257
7626528 331244.664 0.499
47707348 470479.743 0.672
19578644 51557.472 0.169
53412622 401923.235 0.754
46887193 247485.652 0.504
53032037 933.668 0.277
45588685 26124.512 0.025
84479803 134064.396 0.658
74219601 749828.35 0.031
53973221 736688.668 0.372
78316209 69097.81 0.514
15294640 25641.305 0.528
8367408 597279.499 0.181
76988166 195932.776 0.918
98581443 327825.391 0.17
53568453 380775.664 0.06
28630710 121503.423 0.239
55612684 18675.738 0.826
98083261 231197.989 0.872
97215168 259460.993 0.496
58124736 279461.281 0.082
15790660 100513.11 0.425
10380724 110810.751 0.637
39666574 122222.201 0.199
95756984 328535.41 0.745
98744814 250673.598 0.63
25826128 9701.399 0.097
96256797 36486.989 0.958
51782207 198690.979 0.665
60471323 792294.207 0.515
84616532 429361.575 0.543
9719943 107754.997 0.008
42056260 456607.636 0.555
14765349 68090.017 0.95
39031758 466064.78 0.446
64181206 45526.348 0.497
26700651 40585.335 0.237
44924318 258875.251 0.629
54429697 1720.577 0.842
98551265 15110.147 0.034
33463165 243906.771 0.22
63855615 152028.859 0.443
28360168 4765.709 0.891
21373260 55434.807 0.041
11158293 25587.249 0.625
83107199 154794.41 0.551
53608202 468452.844 0.364
75736430 135624.81 0.344
18411266 485352.022 0.952
54737468 205704.046 0.714
17123678 657613.206 0.099
15558962 492181.069 0.178
45595680 377607.605 0.16
14262220 637497.457 0.985
21314351 423767.204 0.522
96247204 397412.892 0.16
93573878 81433.818 0.277
73328477 615661.453 0.704
44774121 971124.892 0.691
80874501 110638.892 0.94
42654266 187839.747 0.275
40594595 750388.466 0.336
44238477 638365.655 0.302
31395808 75042.298 0.551
73637389 280737.556 0.135
15550033 217380.485 0.237
10144583 295483.961 0.471
15318284 797485.905 0.225
92018026 825108.887 0.8
70900904 4726.375 0.617
16653203 200552.922 0.453
89659027 237675.296 0.089
10131467 873.926 0.416
85744580 53763.233 0.582
75691445 243807.605 0.498
61740970 589975.468 0.198
85773036 449742.678 0.232
28126612 10187.217 0.148
42129927 315433.968 0.984
61011027 74119.075 0.235
82990505 352374.103 0.022
84547244 388820.593 0.254
37649832 105191.307 0.352
39120045 310928.934 0.484
8782072 2653.615 0.358
24960099 197065.622 0.956
5127627 364130.552 0.829
81967550 502571.073 0.497
78952868 15269.201 0.133
17577140 576440.225 0.223
25510960 196871.581 0.201
4551552 16892.905 0.502
61510476 29044.121 0.252
86940340 291098.96 0.308
88065816 45011.184 0.496
42141022 204789.079 0.455
48575970 929186.448 0.712
67601201 83544.158 0.7
82361839 571252.949 0.849
78365635 226897.207 0.559
12646083 359754.151 0.312
13771623 380284.785 0.111
4714228 12175.259 0.178
82536381 647128.736 0.998
7615350 405692.821 0.909
68622802 453166.94 0.5
95703159 551028.371 0.881
47506462 362253.955 0.505
30023216 120414.293 0.639
55561574 44064.107 0.927
39894665 140273.883 0.315
72530210 9871.165 0.957
49723757 388827.175 0.085
51745689 350106.958 0.184
87251213 235827.158 0.04
44899992 633743.937 0.855
38684260 52537.055 0.005
27772429 179518.719 0.115
16368701 437327.256 0.469
79603596 809413.655 0.425
76397420 77422.073 0.494
36416325 96155.01 0.656
77436731 266913.224 0.308
81225871 311776.37 0.654
4604696 86104.653 0.069
34462330 40386.014 0.131
38236176 312.03 0.669
60391167 359384.516 0.347
47549294 562757.499 0.839
15331847 124532.955 0.615
12002971 7676.222 0.44
36504502 710461.199 0.764
39914443 333572.486 0.576
73847187 255350.513 0.424
16614988 459552.087 0.108
9985782 82799.074 0.793
36664309 32130.163 0.465
10587682 288506.154 0.317
81018093 113884.067 0.964
47947752 623938.793 0.54
65946384 5257.692 0.966
27749516 109863.548 0.143
41582404 84411.046 0.529
81579367 53058.985 0.412
74297064 144394.811 0.711
33228634 563249.671 0.226
98432178 10980.848 0.129
43709896 439765.669 0.923
57031519 11882.647 0.865
16591934 894555.329 0.063
31024799 311277.979 0.816
27813769 2448.952 0.283
48771733 552905.837 0.482
8891060 15172.047 0.875
54226192 310162.627 0.769
51633511 611311.289 0.151
61500445 620755.832 0.199
62486709 378662.067 0.673
15811422 693830.215 0.435
80036326 299857.575 0.59
79765208 87469.852 0.773
83376318 276280.37 0.997
29783280 168482.986 0.402
24511488 557460.847 0.721
66544184 37988.005 0.954
54999557 60363.232 0.684
17055564 302425.4 0.171
92101634 84105.812 0.245
55237097 52243.94 0.786
41554195 109852.148 0.995
60028663 348082.386 0.602
25920406 132127.352 0.185
63291949 370888.49 0.675
53571472 411655.687 0.146
93048524 212783.06 0.74
39674403 57272.315 0.573
11345303 127224.226 0.532
24200635 73951.985 0.903
65992834 50947.325 0.55
12492084 153069.177 0.336
74981863 102107.302 0.776
59304937 317441.889 0.498
3808960 141271.605 0.003
50866983 480613.333 0.713
69678801 349070.931 0.791
29272866 119868.126 0.818
39912340 361559.777 0.334
62097660 74179.676 0.715
82711114 709660.373 0.518
17064068 72047.421 0.753
77013929 435920.314 0.097
60933584 536741.843 0.492
28766711 579850.387 0.22
68481902 552132.622 0.989
91063780 482057.621 0.339
44135069 63645.89 0.986
39899950 267158.398 0.109
22205150 122110.152 0.597
41705860 91390.918 0.911
31556756 446254.295 0.37
96901681 108661.206 0.993
76809010 85151.256 0.027
61462987 515641.885 0.675
69841640 8591.219 0.075
84361424 192414.529 0.615
54293265 491205.511 0.823
27560471 476897.618 0.144
26199112 41523.045 0.049
25020474 170091.219 0.54
39670492 234993.652 0.229
29184407 46495.946 0.086
96712061 538364.101 0.936
45576247 164839.88 0.705
97405360 29633.377 0.266
51251666 664879.189 0.849
66759066 314502.502 0.924
19186303 503370.61 0.872
25534261 115067.076 0.722
47070220 103279.081 0.226
83045881 6440.313 0.27
77939697 355629.6 0.812
16655157 19597.365 0.192
65989495 19543.085 0.762
67219320 48714.283 0.001
43892546 389034.15 0.605
3644705 49745.267 0.456
97524016 875751.428 0.059
72374862 381533.044 0.576
71586418 16025.446 0.201
95884582 147099.161 0.351
15334420 50319.4 0.792
15124774 26418.138 0.911
16022629 133980.831 0.291
50816982 218832.596 0.229
18392625 336637.951 0.157
82527430 58907.988 0.798
43034378 13116.484 0.955
62546253 217491.086 0.777
53710824 30042.489 0.006
35144443 324519.992 0.605
41821875 486760.647 0.509
62835526 147145.413 0.509
23480352 397860.541 0.857
65553782 477593.972 0.668
31012589 81907.234 0.476
69208896 331192.085 0.691
47110084 208926.337 0.421
27246737 520946.138 0.325
38577444 11422.91 0.867
19777134 186912.402 0.295
55913646 99717.572 0.209
8057220 441730.909 0.07
66909620 176559.155 0.036
12962059 172451.41 0.571
92434248 477034.327 0.884
9247297 18655.553 0.352
52033786 99226.401 0.183
40593498 74927.985 0.239
96293828 152958.69 0.905
32993747 71353.515 0.171
50475794 21898.419 0.361
7672649 324359.201 0.473
32543906 3187.356 0.695
63096661 463772.746 0.731
26356795 822.227 0.344
886227 2686.018 0.902
59595556 675945.227 0.083
94969204 59314.788 0.05
47451136 9793.352 0.829
1672752 235045.92 0.776
52934640 816132.326 0.814
54690602 26505.146 0.563
32393305 590204.935 0.61
59794504 201049.258 0.162
96729134 173969.149 0.187
18929764 541285.844 0.242
21098633 18445.416 0.822
45379811 98649.945 0.155
904517 255059.777 0.534
39348129 201373.864 0.548
59090490 95003.914 0.089
29992274 97674.383 0.987
66520020 52.536 0.215
16475592 36445.254 0.902
69009123 127669.126 0.546
89949200 209523.244 0.3
71486551 631797.836 0.375
12469579 499496.442 0.98
13901155 23744.67 0.466
15505847 57814.949 0.475
81724720 741752.726 0.219
21994214 157779.953 0.885
20962969 180744.753 0.809
80660257 397285.15 0.169
49624460 410185.264 0.952
55786279 176351.314 0.05
28046611 164293.538 0.582
68902486 143812.143 0.919
97957386 578732.472 0.548
12233371 292232.61 0.323
72753720 512860.836 0.772
67226158 345423.553 0.066
81758747 234860.354 0.955
99913254 310737.554 0.325
74957774 415987.144 0.364
11700266 121809.84 0.522
12916298 62390.737 0.851
85934841 14907.961 0.053
4286974 127758.806 0.418
25991784 424851.792 0.048
67195960 162645.048 0.039
69880741 101308.864 0.85
67594460 266383.839 0.85
638819 245982.726 0.631
82788486 258280.715 0.928
39176081 4529.637 0.145
6366887 625668.085 0.727
19045061 252718.673 0.898
12730156 407492.99 0.558
84939306 654249.868 0.682
35939106 114605.415 0.979
92182493 155729.09 0.344
66562769 114448.002 0.854
69646997 149182.419 0.562
62632510 139440.144 0.363
55775784 78473.117 0.08
64785887 72956.311 0.912
49818396 686303.509 0.031
24511552 3230.413 0.078
44725278 606164.831 0.208
22802066 34958.887 0.25
21004087 18931.655 0.682
96633850 611035.666 0.627
49040672 10101.518 0.133
77469974 60191.574 0.533
84018606 345339.089 0.321
87480466 307619.44 0.99
23039039 413089.593 0.817
44446497 17857.303 0.069
66692527 839995.911 0.637
85838341 273459.727 0.969
56969449 50015.34 0.533
34101976 100089.109 0.939
76326397 251031.176 0.135
58360665 560646.52 0.192
5608721 212896.187 0.107
77752092 130902.568 0.939
83180248 16401.316 0.468
90858575 954493.79 0.521
52696154 148567.347 0.135
53040528 23261.043 0.972
63842936 79551.197 0.614
71007643 22090.982 0.985
24396361 654073.171 0.709
88598817 534587.015 0.671
92077010 217879.11 0.622
16053114 607685.622 0.851
14624671 171694.838 0.612
2104259 122602.901 0.03
93114249 35003.616 0.682
56141056 167827.171 0.12
56652127 221462.395 0.529
82924869 89272.722 0.819
57226439 52403.66 0.547
69292400 684803.401 0.949
62233097 80257.704 0.24
43892034 222248.394 0.354
80170849 371142.857 0.632
15640197 324273.867 0.27
40068591 351786.842 0.261
38360726 4369.572 0.025
94178629 395721.124 0.031
67558429 47613.787 0.419
40683737 268675.891 0.856
75366558 94053.351 0.943
73473165 140449.742 0.661
3487740 99387.238 0.856
62288715 411776.223 0.112
36655716 287685.602 0.359
11370450 549664.987 0.61
52680615 473060.981 0.921
47045767 34361.6 0.976
69823713 687570.728 0.58
44702345 212140.267 0.194
79086582 50511.129 0.031
17150130 32209.044 0.681
86205223 313095.281 0.055
45443001 227057.631 0.172
17448708 371149.501 0.815
28964638 104219.707 0.458
62927028 18878.0 0.421
89518121 87364.193 0.353
99048036 553044.061 0.794
22789060 371291.485 0.392
33470754 134484.655 0.034
46182810 392784.149 0.055
36497605 616879.647 0.082
24177159 334794.081 0.264
13854276 119123.637 0.657
79321811 307212.663 0.599
29255729 75764.16 0.245
90589673 190006.63 0.817
43395153 139233.743 0.507
19717603 27389.334 0.628
53510632 158873.228 0.683
95672691 106658.672 0.297
55263490 16295.949 0.432
38893358 277993.287 0.205
89388746 427.642 0.347
28320204 150961.019 0.406
12569842 453378.237 0.665
39603854 471057.421 0.344
94716248 37141.804 0.799
39671304 289653.494 0.949
55438227 201512.21 0.248
36393409 241598.097 0.483
52042381 113495.719 0.295
32801760 17893.001 0.4
13493934 376193.409 0.543
79974649 113964.517 0.698
84701511 42235.587 0.76
6691718 516645.341 0.963
64792577 149951.592 0.763
86273243 142512.913 0.702
85006222 146145.047 0.168
94185076 211449.068 0.654
97992267 230803.115 0.735
63982410 14662.738 0.045
98134357 671584.389 0.033
22098113 57061.613 0.73
81995845 298853.278 0.8
4938200 281370.146 0.096
62166288 456127.896 0.838
41307557 873115.167 0.598
55791316 157522.776 0.121
55934797 649446.186 0.697
560457 73308.082 0.543
19487081 167945.168 0.77
14448632 184700.089 0.132
81252194 32743.541 0.008
58712436 536422.605 0.658
40692109 275617.062 0.943
36465625 370953.52 0.27
65082453 519967.992 0.629
55619319 293165.438 0.117
38354248 721502.567 0.244
20191281 76033.33 0.338
36053220 67503.707 0.28
20280826 507950.528 0.007
78046167 1207.978 0.074
43647304 395855.861 0.898
32231738 28762.617 0.116
5445284 459496.017 0.79
82285909 279030.621 0.633
6141873 141220.771 0.971
85906894 452684.53 0.233
24693129 435538.704 0.118
72197084 166800.775 0.913
9726676 22365.124 0.784
21824061 620643.182 0.9
60428126 397806.218 0.798
12603748 884255.361 0.624
87267790 12196.704 0.948
76118283 679205.69 0.455
71015144 64328.26 0.856
89557707 125039.027 0.511
89551171 762351.889 0.1
78651697 54208.077 0.195
52007860 206698.258 0.47
20024339 254758.502 0.852
97262010 224095.828 0.572
6713444 213781.611 0.878
48923508 67659.135 0.875
67002790 279406.139 0.122
62902145 63337.94 0.913
28965036 383973.554 0.453
70566249 374135.072 0.774
46596754 238683.969 0.959
8499490 15241.496 0.252
44891222 72531.768 0.002
32391623 95.953 0.72
19395816 549283.601 0.647
80303920 22325.167 0.672
76504686 8763.308 0.09
22592645 524425.188 0.52
87211875 231300.921 0.159
62794615 10580.545 0.404
6715457 209741.784 0.452
74356436 329600.515 0.784
56907808 185544.435 0.8
10060789 367565.135 0.827
60866295 58586.917 0.404
12501331 614027.243 0.998
80901996 180561.068 0.19
39852862 389162.929 0.232
38299915 180282.31 0.514
53647221 56223.197 0.978
39897179 770368.039 0.48
9025194 122792.071 0.547
45311483 5669.754 0.17
68246699 9081.332 0.496
89205137 283981.89 0.264
55184463 12398.912 0.294
52346453 306221.843 0.083
34767066 176832.579 0.995
64808315 35538.59 0.69
35545136 23026.484 0.233
16021728 9131.7 0.606
28097734 143428.67 0.798
87085063 109637.906 0.904
19513522 390162.011 0.942
9279955 58265.623 0.037
15703036 2254.636 0.173
6039221 379718.936 0.868
6704644 66445.38 0.404
13016419 183342.635 0.425
35422748 233068.351 0.899
70841147 173844.137 0.312
81056629 146590.24 0.892
23920633 75050.479 0.031
90762382 692816.935 0.006
63909239 301708.508 0.139
39584709 158030.708 0.887
13312459 339901.843 0.125
10923881 42591.233 0.325
15359762 715620.583 0.53
38578338 254839.289 0.98
17858735 127710.784 0.564
52683404 185791.551 0.191
44121256 906809.134 0.383
28790629 243633.321 0.056
93124981 18251.47 0.459
29130197 50002.177 0.22
61516846 330365.536 0.648
81839801 44740.657 0.803
55674382 8103.885 0.472
11204156 78606.202 0.95
86765719 47455.389 0.893
26965729 2774.702 0.491
78114622 81759.488 0.143
55523902 51190.283 0.035
95823324 11432.908 0.162
57883710 309434.432 0.775
53821110 599806.193 0.557
5552095 478164.962 0.837
53376475 63234.328 0.934
16555518 262712.145 0.185
9740553 55965.814 0.976
89792544 159181.443 0.657
17341196 29665.028 0.248
77449436 125551.449 0.202
11050198 387816.599 0.972
17982175 670926.857 0.221
94730717 65391.297 0.165
66211814 440569.812 0.185
71516677 389492.39 0.001
78591852 594165.272 0.65
65629406 321240.23 0.188
51316849 212329.73 0.889
74866994 96957.004 0.506
79764736 377919.355 0.173
14007190 244779.986 0.906
28430176 66854.433 0.219
32271265 3232.191 0.759
30822786 542564.616 0.196
86886100 4056.333 0.521
78808046 184948.111 0.205
76329641 1463.804 0.541
3045461 416293.599 0.459
34251798 413703.639 0.908
88040712 332201.893 0.604
44270891 44886.539 0.975
63704619 235078.076 0.771
82362872 233259.438 0.448
16189139 2337.64 0.945
78656037 194225.783 0.443
89485620 502094.94 0.562
35584127 262656.457 0.777
64785451 40177.204 0.404
25721115 140971.136 0.878
87787944 25175.745 0.04
23543641 473378.357 0.408
53898175 89184.983 0.419
36885223 770025.129 0.329
70418237 13961.895 0.431
52730313 585205.012 0.493
80082196 364452.261 0.665
9638178 731320.433 0.205
39224631 77126.97 0.745
51975087 812738.5 0.312
91383398 671362.356 0.554
39276354 187193.442 0.466
86439525 255487.581 0.014
72974660 70260.188 0.677
27284986 123991.331 0.465
63912053 17195.592 0.608
2620992 317064.779 0.658
55872854 195284.768 0.251
97699921 390445.895 0.219
73279570 379253.032 0.715
16794157 31065.62 0.221
84692437 170863.816 0.894
77962968 38270.124 0.389
71533896 7468.273 0.719
76277826 249596.986 0.725
69220721 206271.612 0.189
57346008 125425.087 0.911
35719616 389249.165 0.018
11267726 393129.397 0.672
74641819 292968.402 0.13
47322067 362384.888 0.86
13525255 105065.048 0.975
84579249 14855.758 0.628
31895394 39670.609 0.858
5858150 846009.272 0.493
74237915 197208.388 0.135
4336110 51884.243 0.151
52874283 413008.321 0.443
80929298 344189.898 0.082
2495705 257251.187 0.713
44307514 134478.357 0.385
58735027 320040.231 0.386
8786250 519510.771 0.455
53415274 128157.174 0.912
76496312 337856.081 0.169
38024455 267897.289 0.692
5189120 25046.074 0.453
8905487 645008.75 0.555
50105030 375321.393 0.208
24769155 131600.231 0.242
86214795 254049.762 0.967
25949172 125181.839 0.012
27476520 262195.149 0.724
75780929 453657.771 0.642
14568557 54229.941 0.277
10132677 794889.343 0.838
29476980 321242.097 0.463
94638731 322058.341 0.559
83084755 360856.852 0.619
22399203 364953.333 0.802
57753476 278913.966 0.365
88576550 25519.621 0.31
69552221 161923.62 0.078
78679517 109945.969 0.957
75377594 941937.794 0.971
79784840 332500.763 0.847
5366096 1444.061 0.75
58508823 482580.492 0.977
60543284 209418.388 0.881
97988510 209376.677 0.308
94807843 337888.473 0.991
70835947 131143.372 0.297
20213768 139387.589 0.115
42461008 269985.913 0.191
71987183 2050.893 0.923
80750297 323235.237 0.282
46630056 112925.175 0.577
80436603 653289.074 0.031
45534986 47172.159 0.935
8283782 667972.249 0.998
36216456 250898.526 0.467
94987713 71048.725 0.051
79864109 441002.083 0.87
29478695 352726.592 0.462
81401619 29289.734 0.468
35729349 268754.246 0.809
44084972 336958.906 0.85
7666832 296471.269 0.787
41046397 158134.848 0.67
89537283 633793.186 0.291
42360815 15512.508 0.116
73177530 159986.26 0.366
4380522 379087.496 0.074
31611590 299461.743 0.911
21124585 1734.564 0.466
11806964 58406.117 0.245
39908772 570931.221 0.436
88885452 61947.333 0.942
60421451 18034.163 0.143
30371338 237560.975 0.418
30386764 123553.359 0.947
4596164 297596.757 0.561
80168622 1501.195 0.834
52842138 453971.486 0.565
31431091 250047.402 0.553
32323091 95905.83 0.724
94121670 268801.053 0.431
97417307 559307.733 0.989
12090232 25039.215 0.366
35464417 617065.754 0.433
87493787 118823.336 0.078
74549944 677994.004 0.322
23526903 107430.087 0.249
47505656 5767.382 0.272
66047504 347934.01 0.129
63863499 696836.122 0.608
70569411 48900.581 0.944
24351239 150912.064 0.789
31797899 34539.299 0.894
26081851 6326.926 0.062
19254136 46669.213 0.016
15255827 39948.04 0.913
69447668 30454.257 0.185
48627448 665845.958 0.88
66980791 106747.845 0.247
45808283 75682.955 0.658
98835430 646573.393 0.494
73529099 75143.248 0.951
40232945 91122.615 0.352
8513625 434851.078 0.78
26058355 678636.803 0.256
27488925 34200.809 0.197
84377968 286885.613 0.487
30336247 420712.221 0.259
24302699 135422.687 0.919
18030419 560551.406 0.837
70728468 163264.626 0.886
85373514 45055.89 0.532
89821353 4971.634 0.6
72667451 118627.132 0.781
59306466 13869.443 0.723
79532516 668002.065 0.114
88234602 417704.166 0.223
71508781 343225.868 0.163
90317309 617987.491 0.658
96522773 68535.936 0.039
79971324 157684.043 0.186
85955199 8375.359 0.281
68151990 133953.203 0.209
31161685 63683.556 0.719
41427308 95842.374 0.507
85942623 720743.074 0.201
78211432 255056.774 0.847
84265644 10132.986 0.492
5522055 35634.814 0.547
21360168 18507.759 0.813
13053485 297335.211 0.737
37479006 162068.456 0.135
96046447 609203.469 0.286
35351701 9748.354 0.142
6663669 125677.371 0.695
80774278 59126.407 0.536
3263695 5337.168 0.915
62271147 508366.886 0.544
63499678 152517.689 0.418
80758991 247047.585 0.365
747344 318458.779 0.256
89576921 77897.028 0.112
98166899 514247.623 0.351
67152962 183464.483 0.698
31799405 907974.611 0.022
